"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/7/15,19:00:00,金牌射手威力卡正等著你！,加緊升等入手他吧！,-,天天衝等,已發送,,,0.134%,,,年貨大街,,0.068%,,1,
2024/7/16,19:00:00,超高牌桌回饋你獨享！,您的美女荷官正在等您哦！,-,牌桌返水,已發送,,,0.124%,,,黑卡積分榜,,0.068%,,2,
2024/7/18,19:00:00,儲值達標就抽好康！,是新遊戲~金牌射手的卡唷！,-,儲值抽卡,已發送,,,0.128%,,,年獸,,0.057%,,1,
2024/7/18,12:05:00,注意！新遊戲上啦！,老虎機~百搭乘倍再乘倍！現在就來奪取千倍金牌大獎！,-,新遊戲,已發送,,,0.141%,,,柏青外贈,,0.029%,,2,
2024/7/19,19:00:00,【全新】活動開跑！,快來猜猜是哪隊贏？,-,競猜,已發送,,,0.135%,,,打寶箱,,0.030%,,2,
2024/7/20,19:00:00,想要金牌射手紅紫卡嗎？,那就別錯過主打榜啦兄弟！,-,主打榜,已發送,,,0.098%,,,直播,,0.030%,,1,
2024/7/20,20:00:00,小妹來送幸福紅包啦！,金牌射手威力卡等多項好禮送乎你！,-,CCU紅包,已發送,,,0.134%,,,烤肉,,0.030%,,2,
2024/7/21,19:55:00,八點搶免費紅包！,金牌射手威力卡、寶石、金幣全送乎你！,-,CCU紅包,已發送,,,0.149%,,,積分榜,,暫無,,2,
2024/7/22,19:00:00,新的主打榜開始啦！,贏榜~紫卡都是你的！兄弟,-,主打榜,已發送,,,0.147%,,,特色購買抽黑卡,,,,,
2024/7/24,19:00:00,榜單加把勁催下去！,金牌射手威力卡等你拿！,-,主打榜,已發送,,,0.126%,,,,,,,,
